,title,status,level,author
48,Membangun Aplikasi Cek Ongkir Menggunakan Laravel,publish,intermediate,Ahmad Hakim
49,Belajar Vue.js 3 dan Firebase Studi Kasus Blog,publish,beginner,Ahmad Hakim
50,Panduan Awal Menjadi Fullstack Web Developer,publish,beginner,Sandhika Galih
51,Studi Kasus Web Geolocation dengan Laravel dan HERE Maps,publish,beginner,Ahmad Hakim
52,Membangun Website Toko Online Berbasis CodeIgniter,publish,beginner,Ahmad Hakim
53,Belajar Cepat Membuat Web App Berbasis React ,publish,beginner,Bagus Budi Cahyono
54,Belajar Pemrograman PHP,publish,beginner,Toni Haryanto
55,Menguasai Framework CodeIgniter 3,publish,beginner,Toni Haryanto
56,Membuat Toko Online dengan Laravel LiveWire dan Payment Gateway,publish,intermediate,Ahmad Hakim
57,Membuat Sistem Informasi Perpustakaan Menggunakan Laravel 6,publish,beginner,Muhammad Amirul Ihsan
58,Membangun Website Modern dengan Vue.js 2,publish,beginner,Ahmad Hakim
59,Membuat Aplikasi Presensi Android Berbasis Lokasi - Kotlin,publish,beginner,Aulia Rahman
60,Menguasai Framework Laravel 8,publish,beginner,Ahmad Hakim
61,Membuat Aplikasi E-learning di Android menggunakan Realtime Firebase - Kotlin,publish,intermediate,Aulia Rahman
62,"Fullstack Tutorial MongoDB, Express, Vue, Node - Shopping Cart",publish,beginner,Ahmad Hakim
63,Membuat REST API dengan Express.js dan MySQL - Studi Kasus Classified Ads,publish,beginner,Ahmad Hakim
64,Pengenalan Machine Learning,publish,beginner,Nur Indah Pratiwi
65,Aplikasi Pemasaran Produk Android OLX Clone - Kotlin,publish,intermediate,Aulia Rahman
66,Dasar-dasar Framework Laravel 6,publish,intermediate,Muhammad Amirul Ihsan
67,Membangun Web Donasi Online dengan Laravel dan Payment Gateway,publish,intermediate,Ahmad Hakim
68,Membuat Website Company Profile dari Nol Sampai Online,publish,beginner,Aden Rahmandi
69,Android Development Starter Pack - Java,publish,beginner,Aulia Rahman
70,Membangun Aplikasi SPA Laravel VueJS dengan Fitur Authentikasi,publish,intermediate,Ahmad Hakim
71,Cara Mudah Buat Toko Online Sendiri dengan Wordpress,publish,beginner,Toni Haryanto
72,"Membangun Website Toko Online Menggunakan Laravel, Nuxt.js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
73,"Membangun Aplikasi Point Of Sales Kasir dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
74,Deploy Projek Machine Learning ke Cloud,publish,beginner,Nur Indah Pratiwi
75,"Membangun Website Sekolah Dengan Laravel, Vue Js dan Bootstrap 5",publish,beginner,Fika Ridaul Maulayya
76,Membangun RESTful API dengan Laravel Studi Kasus Blog,publish,intermediate,Ahmad Hakim
